Info    2000-01-01 08:07:38  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:39  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:39  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:40  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:40  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:41  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:41  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:42  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:42  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:43  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:43  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:44  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:44  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:45  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:45  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:46  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:46  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:47  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:47  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:48  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:48  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:49  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:49  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:50  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:50  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:51  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:51  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:52  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:52  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:53  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:53  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:54  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:54  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:55  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:55  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:56  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:56  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:57  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:57  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:58  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:58  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:07:59  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:07:59  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:08:00  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
Info    2000-01-01 08:08:00  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(EventProcess.cpp-L0311)     Description:[Event]Read Async, Ret[0xff]     Solution:
Error   2000-01-01 08:08:01  DevID:MV-CU013-A0UC(DA6038615)  Source-Line:libMvUsb3vTL.so(DriverLayer.cpp-L0769)     Description:timesOut, num_iso_packets: ff     Solution:
